,title,fake,url,text,img_url,timestamp,author
1,Trump breaks protocol during Royal visit twice after failing to bow and walking in front of Queen | Daily Mail Online,1,http://www.dailymail.co.uk/news/article-5952671/Trump-breaks-protocol-Royal-visit-twice-failing-bow-walking-Queen.html?ito=social-facebook&h=AT091-lRxwI7ZPRrCwejqJ9jxJna4csRruH0Wbbf8zs1EGlTBKqDYvEmphb-fZ2EKOhAqSgRmuVMYU2iiqi55ZYmRFXyi61tYvJ5YyFkYH0sVyAZWx1p-dPRzG1krsG0gt-D2Ru9Z0Nob0XCnQ,"
None
None
None
        1.8k
None
He is used to being out of step with other leaders, and perhaps he was caught up in the excitement of the occasion.
Donald Trump kept the Queen waiting for more than 10 minutes for the arrival of the black Range Rover used to transport him and his wife Melania to Windsor Castle.
And at one point Mr Trump appeared to breach royal protocol, marching in front of the Queen while they inspected the guard of honour.
The President looked out of step with the official choreography – causing the Queen to point tentatively and ask him to move to the left.
However, Mr Trump failed to pick up on the signal and instead came to an abrupt stop in front of her.
The Queen abandoned her efforts to get the President to move and simply shuffled around him. 
Mr Trump continued to stand stock-still, staring at the Coldstream Guards – who were in their traditional bearskin hats despite the 27C (81F) heat.
This way: They inspect the Coldstream Guards at Windsor Castle
Do get out of one's way, Donald! The president blocks the Queen at Windsor Castle
So she carries on without him, as he appears to be transfixed by the spectacle
Striding out in front of the Queen
Perhaps in deference to the Army’s second most senior regiment, Mr Trump appeared to be transfixed by their resplendent appearance and was rooted to the spot for several moments.
The Queen, who is used to inspecting her guards, appeared to leave him behind before she spurred him into movement again with a swift hand gesture.
His gaffes were slammed on social media, with Joanna Gasiorowska, Al Jazeera senior sports presenter tweeting, ‘I can’t even watch this… No bow or curtsey [sic] and now #Trump walks in front of the Queen… surely he knows the protocol but chooses to ignore it and that’s just b***** rude.'
Back in step: The Queen with US President Donald Trump
 

	    Share what you think
          
The comments below have not been moderated.

      The views expressed in the contents above are those of our users and do not necessarily reflect the views of MailOnline.
    
None
Do you want to automatically post your MailOnline comments to your Facebook Timeline?
Your comment will be posted to MailOnline as usual.
 
Do you want to automatically post your MailOnline comments to your Facebook Timeline?
Your comment will be posted to MailOnline as usual
  We will automatically post your comment and a link to the news story to your Facebook timeline at the same time it is posted on MailOnline. To do this we will link your MailOnline account with your Facebook account. We’ll ask you to confirm this for your first post to Facebook.
None
Published by Associated Newspapers Ltd
Part of the Daily Mail, The Mail on Sunday & Metro Media Group",//www.facebook.com/tr?id=1401367413466420&ev=NoScript,14/07/2018 08:00,Daily Mail
4,Scarlett Johansson to Play a Transgender Man in New Movie ‘Rub & Tug’ - VICE,1,https://www.vice.com/en_ca/article/gykzj9/scarlett-johansson-to-play-a-transgender-man-in-new-movie-rub-and-tug?utm_source=vicefbca&utm_campaign=global&h=AT0qpHoAg7WIjNxjj0J9JoH9MaxNybtHHfR9b8xBDxjTV35cBvR14mBP8tvISulXMKCVc8j31R6WzL43_KhLGwxS8r6evSBV_GYDrGDIvHbmmxlW4nqPKCHGpmFqJK04i3jg4Jp88v-dvmHzQw,"
None
Photo via Vicky Cristina Barcelona screenshot.
None
None
The problem with this entire situation should be immediately apparent. The practice of casting cisgender actors as trans people perpetuates the idea that trans people, somehow, are pretending to be something they aren’t; that being trans is inherently an act or performance. 
None
None
None
None
None
None
None
Often the argument against assigning actual trans people these roles is that the job should simply go to “the actor best suited for it”—that the pool of trans A-listers is either marginal or nonexistent. This implies there aren’t any readily available trans actors who can do the job just as well as anyone else. Casting has to start somewhere, and at some point, the gatekeeper has to open the gates. If trans actors continue to be denied roles and opportunity, it becomes impossible for their profiles to grow in the entertainment industry. 
It seems a far stretch of the imagination to think a cisgender actor can, in any meaningful way, understand the complexities and nuances of a trans person’s humanity. The distance between the two experiences just isn’t one that can be closed by hair and makeup.
None
None",https://d5nxst8fruw4z.cloudfront.net/atrk.gif?account=x5HVh1aUXR00Gi,14/07/2018 05:30,VICE
5,Why Melania Trump and the Duchess of Sussex are style twins,1,https://www.telegraph.co.uk/fashion/people/melania-trump-duchess-sussex-style-twins/?utm_campaign=Echobox&utm_medium=Social&utm_source=Facebook#Echobox=1531515364&h=AT2A5OKC2Ffzs4_Qee3uLzmn2zbxUbI1SvjbvHtoh0MtYVUtXPdDVb8Asp8bkcSxqb1USigUWLFFmaOdwgyVXZnU8fjfUPMh2kj4npmEDaJfOTnT-_nHaHzt3pgLZXkGmGL-EwdphFo5PxpEAg,"
None
So it's been a brilliant week for Dior and Roland Mouret.
None
To Thursday, when Melania Trump exited Air Force One in one of Mouret's tightly fitted 'Darley'...
© Telegraph Media Group Limited 2018
We rely on advertising to help fund our award-winning journalism.
We urge you to turn off your ad blocker for The Telegraph website so that you can continue to access our quality content in the future.
Thank you for your support.
Need help?
None",/content/dam/TheTelegraph_portal_white-320-small.png,14/07/2018 06:00,The Telegraph
7,Ted Bundy's defense attorney says serial killer had chilling 'sociopathic energy' | Daily Mail Online,1,http://www.dailymail.co.uk/news/article-5952141/Ted-Bundys-defense-attorney-says-serial-killer-chilling-sociopathic-energy.html?ito=social-facebook&h=AT2GrwKJe6s23jXkfMGVVHla5gDjq851X5kjeX4sUaU29GPoELV-g2hjLyCtFFAfvLAFlhYiRjScxQ8QsoRhlWkC8VQqw7t_uzwHZQo-PujCjaI_XU4rvR56XW4AUU1H_SIzl1CRMsR32m-lRg,"
None
None
None
         142
None
Ted Bundy admitted to 30 murders and may have killed as many as 100 women
The lawyer who defended serial killer Ted Bundy has spoken out, saying he believes the murderer was 'born evil' and intentionally sought the death penalty.
None
Though Bundy admitted to committing 30 murders across several states in the 1970s, authorities fear he may have had a hand in as many as 100 slayings. Bundy was executed by the state of Florida in 1989 at age 42.
The infamous killer was best known for his ruse of charming young women while pretending to need crutches or a cast, and then killing them at other locations which he'd repeatedly revisit to groom or abuse the bodies in sick postmortem rituals. 
Browne first became involved in Bundy's defense when the killer was living in Seattle free on bail, pending his trial in a kidnapping case in Utah. 
Scroll down for video 
Attorney John Henry Browne, 71, (above) opened up about his chilling experience with the notorious killer for a new episode of the documentary series 'In Defense Of'
Bundy was best known for his ruse of charming young women while pretending to need crutches or a cast, then abducting and killing them before revisiting the bodies repeatedly
'Ted knew he was being followed - there was no subtlety to what the task force was doing while he was in Seattle,' Browne recalled in a preview for the new episode.
'Ted actually enjoyed the attention he was getting from the media and police. They were following him everywhere, and that became almost comical, because Ted would make fun of them - he'd make cookies for the cops. He'd knock on their windows, like make coffee and take it to the surveillance vehicles,' said Browne.
'When I first met Ted, my strategy was to minimize the public's belief that he was 'the Ted,'' said Browne. 
But over the course of a decade representing Bundy, the defense attorney eventually came to find that he was the worst of the worst.
None
'This is really the only person, after representing thousands of clients in 40 years that I would say that about,' he continued. 'I didn't want to believe people were born evil, but I came to the conclusion that Ted was… He had this energy about him that was clearly deceptive, very sociopathic.'
Bundy was convicted of kidnapping in Utah in 1976, by which time the handsome psychopath had come under suspicion for dozens of murders spanning multiple states.
One year into his sentence in Utah, he was extradited to Colorado to face charges in the murder of 23-year-old nurse Caryn Campbell.
Ted Bundy, then 30, (center) is escorted out of court in Pitkin County, Colorado in 1977
Bundy, acting as his own attorney in the Campbell case, failed in one escape attempt in Aspen, Colorado. Browne believes he had a 'death wish' and wanted to get to a state that had the death penalty.
'He asked me in Colorado where a person would actually go to get the death penalty and I said, immediately, Florida or Texas,' said Browne. 'And then he escapes a second time and goes to Florida.'
Bundy effected a daring, meticulously planned jailbreak on New Year's Eve 1977, taking advantage of the holiday to shimmy through the ceiling to the warden's office, don the warden's street clothes and walk out the front door of the jail.
Just weeks later, Bundy went on a violent sexual rampage though a Florida State University sorority, killing two young women and seriously injuring two others.
Soon after, the sociopath abducted and murdered 12-year-old Kimberly Diane Leach.
On February 8, 1978, just five weeks after his jailbreak in Colorado, Bundy's final murder spree came to an end with his arrest, when he was pulled over in a stolen car.
Bundy (left) leans on the Leon County jail wall as an indictment charging him with the murders of two FSU coeds at the Chi Omega house is read by Leon County Sherriff Ken Katarsis in 1978
Bundy watches intently during the third day of jury selection at his trial in Orlando for the murder of 12-year-old Kimberly Leach. He was convicted and sentenced to execution
Reports at the time indicated that Bundy was offered a pre-trial plea bargain, in which he would plea guilty to the murder of Leach and the two sorority sisters, in exchange for 75 years in prison. 
'Nobody would ever believe you could get a plea bargain for Ted Bundy, but I did with one other lawyer,' recalls Browne. 
Bundy is seen during his trial in Florida. His lawyer says he wanted to be executed
'He turns around and says, 'I'm not going to do it.' That's when we told him we weren't going to help him anymore. We felt he had a death wish. So yes, I think it could be reasonably concluded that Ted had a death wish,' the lawyer said.
Browne described Bundy's personality as a series of masks, cunningly designed to charm, manipulate and deceive.
There was just one moment before the trial in Florida, the attorney said, when the masks slipped, and he felt he got a glimpse at another side of Bundy as he sat in his jail cell. 
'He said to me, ""John, I want to be a good person, but I'm just not,"" said Browne. 'He actually fell to the floor cell and had tears in his eyes when he said that… It was the first time I ever saw him truly emotional.'
'He was acknowledging that he was basically an evil person who has done awful things and he wished he wasn't that anymore… He snapped out of that after three hours and went back to the facade of Ted.'
Bundy was convicted and sentenced to execution. On death row, he admitted to  30 murders, but said there were others so heinous that he would never confess.
The full episode of 'In Defense Of' airs on Sunday, July 15 at 8pm on Oxygen.

	    Share what you think
          
The comments below have not been moderated.

      The views expressed in the contents above are those of our users and do not necessarily reflect the views of MailOnline.
    
None
Do you want to automatically post your MailOnline comments to your Facebook Timeline?
Your comment will be posted to MailOnline as usual.
 
Do you want to automatically post your MailOnline comments to your Facebook Timeline?
Your comment will be posted to MailOnline as usual
  We will automatically post your comment and a link to the news story to your Facebook timeline at the same time it is posted on MailOnline. To do this we will link your MailOnline account with your Facebook account. We’ll ask you to confirm this for your first post to Facebook.
None
Published by Associated Newspapers Ltd
Part of the Daily Mail, The Mail on Sunday & Metro Media Group",//www.facebook.com/tr?id=1401367413466420&ev=NoScript,14/07/2018 08:45,Daily Mail
8,Texas mom gets 40 years for trying to sell 2-year-old daughter for sex - BIGCOUNTRYHOMEPAGE,1,https://www.bigcountryhomepage.com/crime/texas-mom-gets-40-years-for-trying-to-sell-2-year-old-daughter-for-sex/1300232993?utm_medium=social&utm_source=facebook_KRBC_News&h=AT3GwlV996e8Aj7V6BHCO3raEO2DTTVzX9zlVPyKuEBM-pBgpAzDO4SOwKyqazVaxBBsREvndwsF8xvunHvfAngRjjW65k8AdhDM2g2z0_aLpHhzfVFOmU7lUHJyeWzfGVAPd6TdRWJyG9IYaw,"
None
None
None
According to the Montgomery County, Texas District Attorney’s Office, Sarah Peters, 25, pleaded guilty to sexual performance of a child, attempted human trafficking and promotion of prostitution of a child.
Investigators said Peters contacted a person online and agreed to sell her child for sex. That person turned out to be an undercover officer.
Peters then brought her daughter to Conroe Texas on the agreed upon date in order to allow a man to engage in sex acts with the child for $1,200. She was intercepted at a Greyhound bus station in Montgomery, Texas.
She was sentenced to 40 years on the sexual performance of a child case and to 20 years on the other charges. She won’t be eligible for parole until 2038.
The District Attorney’s Office released the following statement:
""The events of this case are hard to believe - that a mom would willingly expose her own daughter to this type of danger. And without the proactive work of (the detectives) and the ICAC Task Force, this child would have become a victim to the worse type of abuse. Our citizens must realize this type of activity happens in our community. We need the community to be vigilant and report to law enforcement any activity they see/hear where a child might be in danger of abuse or sexual exportation. We are very fortunate to have this team of dedicated law enforcement professionals working so diligently for the safety of our children and community.""
Copyright 2018 Nexstar Broadcasting, Inc. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed.
None
Abilene police need to identify a theft suspect who forgot where…
None
None
None
An Abilene man was one of 22 suspects arrested on Federal…
None",https://api.b2c.com/api/noscript-3822h1xdo2bjghb73i1.gif,13/07/2018 21:57,KRBC News
9,Apple launches a $300 million fund to bring clean energy to China - The Verge,1,https://www.theverge.com/2018/7/13/17569348/apple-china-clean-energy-fund&h=AT0PGUqbuh64WNbAFQeWQFJ_Zn7-KSuYhrG39fPIM7lx6UjFQU0o3DUDo2dCN-LrZmalpXmNvD_dyLh8ZENFAE7AVydZ5LTJ74ZAE6LtKvt55LNKdkKlzyTVLANp404LyYlU8VwbgXOjHVlU2Q,"
None
None
Overall, Apple and its suppliers hope to generate more than 4 gigawatts of clean energy by 2020.
None
Command Line delivers daily updates from the near-future.",https://cdn.vox-cdn.com/thumbor/TA_uGicup-JrPZx8tQXUf_qvc3Q=/0x0:815x505/1200x800/filters:focal(343x188:473x318)/cdn.vox-cdn.com/uploads/chorus_image/image/60363689/solarcells.0.jpg,14/07/2018 09:01,The Verge
11,FCC updates Emergency Alert System in effort to minimize false alarms,1,https://mashable.com/2018/07/13/fcc-emergency-alert-system-updates-false-alarm-hawaii/?utm_cid=mash-com-fb-main-link#8DMUMhYvD9qk&h=AT3K3O9HqYlE5mrAWpfzTzqSbM7YGXLI5bmW-ij3Zj8AXOLQr827JX3-YHRI_bK7_IElspNqzcLGyxR3HiO58TrSw0tc3S7aY1W5SIWqr2D599sHJhJy4fbQ-SHPl5hN0XlsABzSpT2qI0M1Sw,"
Earlier this year, the people of Hawaii received an emergency alert on their phone. This alert read:
Emergency Alert
BALLISTIC MISSILE THREAT INBOUND TO HAWAII. SEEK IMMEDIATE SHELTER. THIS IS NOT A DRILL
None
None
None
Local and state officials will now be able to carry out “live code” tests of the Emergency Alert System. This would allow tests to be conducted with all the alert protocols and sounds of an actual alert, but fully planned, labeled as a test, and with prior notifications of the test for the general public.
The FCC also unveiled that public service announcements about the Emergency Alert System will now present itself as an actual emergency alert. With these new procedures, it looks like the Commission is making moves to normalize these alerts so tests can be carried out without the worry of an error leading to a widespread panic.
In their announcement, the FCC also outlines the processes that need to be taken and requires the Commission to be contacted, in the event that another false emergency alert is sent out.
These changes to the Emergency Alert System look like they could be helpful in preventing the next false “there is a missile about to hit your state” alarm. However, these FCC updates don’t really seem to prevent what actually caused the Hawaii panic in the first place: human error thanks to bad user interface.
None",https://zdbb.net/l/z0WVjCBSEeGLoxIxOQVEwQ,14/07/2018 07:40,Mashable
12,Google URL Shortener,1,https://goo.gl/7qk45U&h=AT39tDTd0V1vlaCetogQB9JNbkn4WtNP-nqP3f0UniCK1EJTbOo9FC7Ir0VKSpbn1vO8I3Fha_0XUw3RGe8N0heQKZOYI3gzEuGrzK6HjHrPNk8SQ4ggkaSwS6IiFFlwjkU-IEnn1NgXUQQsxQ,"
None
If you typed in or copied/pasted this URL, make sure you included all the characters, with no extra punctuation.",//www.gstatic.com/images/branding/googlelogo/svg/googlelogo_clr_74x24px.svg,13/07/2018 17:29,News Leak Centre
14,British diver who rescued Thai boys from cave finds love with nurse | Daily Mail Online,1,http://www.dailymail.co.uk/news/article-5946671/Hero-British-diver-rescued-12-Thai-boys-trapped-cave-finds-love-local-nurse.html?ito=social-facebook&h=AT1YcqEjIXwiHPC_ZvvN90R40OXjSlpnHoJovTgcImvkGKgy6uCNifIzj4bmD4WYORLCQq8SQQFYA74qjZk-oKD6Y6kOQfnNhBHW7LBSBXPGsjhzDdRJUNcjR_BvJcAKnK3WVNsgEkf-NUEGBQ,"
None
None
None
          40
None
The hero British diver who rescued 12 Thai boys and their football coach from a flooded cave is dating a local nurse, MailOnline can reveal. 
Rick Stanton was the first person to reach the missing boys stranded in the flooded Tham Luang cave - and led the 'mission impossible' to free them. 
None
He has been dating Siripon Bugnngern, known as Amp, after meeting her just a few months ago while she was on holiday in England.
Amp is from Chiang Rai, northern Thailand, close to where the Wild Boar football team went missing on their ill-fated trip into the caves. 
She volunteered to work as a translator for the British diver and the rest of the rescue team when he was called in to find and rescue the stranded boys.
Hero British diver Rick Stanton who rescued 12 Thai boys and their football coach from a flooded cave is dating local nurse Siripon Bugnngern, known to her friends as Amp (pictured)
Mr Stanton, 57, who led the 'mission impossible' to free the boys met his girlfriend Amp while she was on holiday in England where the diver lives in Coventry and works as a firefighter
'Although it's early days and they haven't been together for long, Rick is absolutely besotted with Amp,' said a source.
'She is from Chiang Rai so when Rick was asked to come and help rescue the missing boys Amp was right by his side.
'She has been helping Rick and the other divers throughout the rescue operation. Amp is part of the team, helping translate between the British and Thai rescuers.
'They are very close. I wouldn't be surprised if they get married.'
Despite an age gap of more than 20 years, Rick and Amp share a passion for out-door pursuits. The couple are believed to have met several months ago.
Mr Stanton led the rescue attempt that captivated the world along with second British diver, John Volanthen. 
Mr Volanthen, 47, from Bristol, was part of the team that dived a recordbreaking 5.5 miles into the unexplored Pozo Azul cave system in Spain in 2010. 
Mr Stanton, who was awarded an MBE, has a reputation of being 'the man to call' for certain cave rescues. 
The firefighter from Coventry helped to rescue 13 British cavers in Mexico in 2004. 
The heroic diver Rick looked extremely happy next to his girlfriend Amp as they dined at Coventry Cathedral last month. Amp has been working as a translator during the dive rescue
Mr Stanton's girlfriend Amp is from Chiang Rai, not far from the cave where the boys were trapped for almost two weeks. She is pictured in the cave alongside her beau in the cave
The boys aged 11 to 16 from the Wild Boars football team had gone one an expedition of the cave's tunnels after training - but got lost sparking a rescue attempt that had gripped the world
He is a fanatical potholer and cave diver, while his new girlfriend loves canoeing and rock climbing and travelling.
The British diver had been on holiday to the Chiang Rai area seeing Amp just weeks before the disaster in which the dozen young players went missing in the flooded cave.
Dramatic footage of the rescue attempt showed Mr Stanton discovered the boys stuck on a ledge in the cave where they had been trapped without food or daylight for nine days.
On the video, Mr Stanton could be heard saying, 'How many of you? 13? Brilliant.' 
When asked by the group if they will be leaving the cave, the diver said: 'No, not today, not today. There's two of us. You'll have to dive.'  
However, Rick and Amp did not meet in Thailand, they met while she was on holiday in the UK from Australia, where she has been working as a nurse in a care home.
A friend revealed: 'Amp's home town is Chiang Rai, but she met Rick while she was on holiday from her nursing job in Australia.
Amp, a nurse, who was living in Australia when she met Mr Stanton worked as a translator between the British dive rescuers and their Thai counterparts
Mr Stanton (left) and his British dive colleague John Volanthen (right) were the first to reach the 12 boys and their coach inside the Luang Nang Non Cave, with assistance from fellow diver Rob Harper (centre) who flew out June 26 at the request of Thai authorities
Dramatic footage of the rescue showed Mr Stanton (left with Mr Volanthen, right) of the boys stuck on a ledge in the cave where they had been trapped without food or daylight for nine days. On the video, Mr Stanton could be heard saying, 'How many of you? 13? Brilliant.'
Following the rescue members of the 'Wild Boars' football team were pictured for the first time being treated at a hospital in Chiang Rai
'She came back to Chiang Rai just a few days before Rick was called to help in the rescue operation by chance.
'She took part in the rescue mission and stayed with the team of divers during the operation.'
Amp's skill and bravery in taking part in the rescue mission has also been praised.
Commenting on the picture of her with the rescue team inside the cave posted on Facebook, her friend Chadaporn Chamyam said: 'Permission to admire. Amp never told anyone where she was. She is such a good person and a role model.'
Mr Stanton previously lost out in love because of his obsession with caving.
His former partner of 25 years Angie Timms told how the young couple were initially hooked on the 'thrill' of caving.
But the pair grew apart and split up as he became more obsessed with going underground.
Angie, from Coventry, told MailOnline: 'Our paths and interests changed. He was into cave diving and doing it more and more and his lifestyle was getting too dangerous and I was worried about him.' 

	    Share what you think
          
